time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
5.039748720000000000e+13	1.015605122378066426e+03	3.235977859342847662e-11	0.000000000000000000e+00	1.072564330577167496e+07
5.042904480000000000e+13	1.015010304973773032e+03	3.235479793092450649e-11	0.000000000000000000e+00	1.072499316283248179e+07
5.046060240000000000e+13	1.014417954918559417e+03	3.235171341805342733e-11	0.000000000000000000e+00	1.072434784077610821e+07
5.049216000000000000e+13	1.013828073080808167e+03	3.234677450640173744e-11	0.000000000000000000e+00	1.072370550428147614e+07
5.052371760000000000e+13	1.013240660096359306e+03	3.234506108918915545e-11	0.000000000000000000e+00	1.072306981232454628e+07
5.055527520000000000e+13	1.012656009779229294e+03	3.234123519678797739e-11	0.000000000000000000e+00	1.072243391475212201e+07
5.058683280000000000e+13	1.012073707842176645e+03	3.233638978125788869e-11	0.000000000000000000e+00	1.072180172033735178e+07
5.061839040000000000e+13	1.011493804368256860e+03	3.233176848108797863e-11	0.000000000000000000e+00	1.072117222409366444e+07
5.064994800000000000e+13	1.010916328613494215e+03	3.232828464867690190e-11	0.000000000000000000e+00	1.072054919270243123e+07
5.068150560000000000e+13	1.010341297540606661e+03	3.232295501068111605e-11	0.000000000000000000e+00	1.071992953338222019e+07
5.071306320000000000e+13	1.009768720829862218e+03	3.231825630796354195e-11	0.000000000000000000e+00	1.071931503272523731e+07
5.074462080000000000e+13	1.009198603821711117e+03	3.231358859127008429e-11	0.000000000000000000e+00	1.071870508003659546e+07
5.077617840000000000e+13	1.008630949245196348e+03	3.230895172078549959e-11	0.000000000000000000e+00	1.071809964532431215e+07
5.080773600000000000e+13	1.008065758233508518e+03	3.230434556725757618e-11	0.000000000000000000e+00	1.071749869873164222e+07
5.083929360000000000e+13	1.007503030921033201e+03	3.229977000992433589e-11	0.000000000000000000e+00	1.071690221052714810e+07
5.087085120000000000e+13	1.006942766794693512e+03	3.229554193369338252e-11	0.000000000000000000e+00	1.071631015109612606e+07
5.090240880000000000e+13	1.006384964901040917e+03	3.229107054828071637e-11	0.000000000000000000e+00	1.071572218410460465e+07
5.093396640000000000e+13	1.005829623968652868e+03	3.228854854137924296e-11	0.000000000000000000e+00	1.071513925111422502e+07
5.096552400000000000e+13	1.005276742480805865e+03	3.228415662050175478e-11	0.000000000000000000e+00	1.071455805316697434e+07
5.099708160000000000e+13	1.004726318718950438e+03	3.228219334034674905e-11	0.000000000000000000e+00	1.071397982050207071e+07
