time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
2.038800000000000000e+05	1.476935890119996375e-01	2.824053920404254010e-06	-1.221533945088702750e-08	1.724535165633482104e-03
2.039400000000000000e+05	1.476976138473702904e-01	2.824021172418115919e-06	-1.221519038592967102e-08	1.724524204707465020e-03
2.040000000000000000e+05	1.477016868656355897e-01	2.824044001537659917e-06	-1.221502542053166043e-08	1.724513294549128361e-03
2.040600000000000000e+05	1.477058044616028076e-01	2.824125281593112274e-06	-1.221484569706124166e-08	1.724517409372315407e-03
2.041200000000000000e+05	1.477099669981360996e-01	2.824079017425561001e-06	-1.221465315321721639e-08	1.724506339081614131e-03
2.041800000000000000e+05	1.477141625050576446e-01	2.824044776978459203e-06	-1.221444761336842467e-08	1.724495340484276558e-03
2.042400000000000000e+05	1.477183915498277988e-01	2.823996976392947926e-06	-1.221423007309389746e-08	1.724484395044968178e-03
2.043000000000000000e+05	1.477226500991028202e-01	2.824038828101726339e-06	-1.221400143449733898e-08	1.724473523708606884e-03
2.043600000000000000e+05	1.477269344072796309e-01	2.824013257630572516e-06	-1.221376248630845830e-08	1.724462588138354598e-03
2.044200000000000000e+05	1.477312406783611032e-01	2.823980831347829854e-06	-1.221351392221031059e-08	1.724437086145548482e-03
2.044800000000000000e+05	1.477355611038356775e-01	2.823964654102743281e-06	-1.221323926270588719e-08	1.724426240829878649e-03
2.045400000000000000e+05	1.477399001894539043e-01	2.823903635315267283e-06	-1.221294190633124992e-08	1.724415420903251247e-03
2.046000000000000000e+05	1.477442506301801239e-01	2.823783719768773338e-06	-1.221262420285923835e-08	1.724404695601483226e-03
2.046600000000000000e+05	1.477486103133331119e-01	2.823691795847796284e-06	-1.221228897761557933e-08	1.724394609552230275e-03
2.047200000000000000e+05	1.477529773169729554e-01	2.823636085473113942e-06	-1.221193895477301907e-08	1.724384212174825048e-03
2.047800000000000000e+05	1.477573501525768496e-01	2.823712553630498153e-06	-1.221157601429947879e-08	1.724373901311427367e-03
2.048400000000000000e+05	1.477617275977497480e-01	2.823806606336261918e-06	-1.221120215766626033e-08	1.724363473000278509e-03
2.049000000000000000e+05	1.477661086274482671e-01	2.823804585555638767e-06	-1.221081910480731683e-08	1.724352900121233585e-03
2.049600000000000000e+05	1.477704923474950083e-01	2.823759698812571509e-06	-1.221042832533740808e-08	1.724342330951858385e-03
2.050200000000000000e+05	1.477748779415186953e-01	2.823719316435528184e-06	-1.221003100183519260e-08	1.724332238008587093e-03
2.050800000000000000e+05	1.477792646278226762e-01	2.823725531331583047e-06	-1.220962800441749554e-08	1.724321801645204008e-03
2.051400000000000000e+05	1.477836516251014309e-01	2.823766846527957098e-06	-1.220922019758397688e-08	1.724311356312706192e-03
2.052000000000000000e+05	1.477880381257467568e-01	2.823763580053075923e-06	-1.220880830221494031e-08	1.724300847850758793e-03
2.052600000000000000e+05	1.477924232756691603e-01	2.823793919506152198e-06	-1.220844519175259124e-08	1.724290345065380634e-03
2.053200000000000000e+05	1.477968061596762750e-01	2.823746337462551157e-06	-1.220807767432219370e-08	1.724279796019653407e-03
2.053800000000000000e+05	1.478011857915615401e-01	2.823686765006222641e-06	-1.220770536614218852e-08	1.724254714718694535e-03
2.054400000000000000e+05	1.478055570578995781e-01	2.823748446932142332e-06	-1.220732735152995890e-08	1.724244332178581727e-03
2.055000000000000000e+05	1.478099270399876319e-01	2.823657233033540746e-06	-1.220694430771116974e-08	1.724233855032507399e-03
2.055600000000000000e+05	1.478142901640733531e-01	2.823631263077563616e-06	-1.220655610101755507e-08	1.724223519241481831e-03
2.056200000000000000e+05	1.478186453610784157e-01	2.823632597163441291e-06	-1.220616279526458706e-08	1.724213224127133350e-03
